index,H
0,9.4552340913386713833626952578975167610406e-15
1,-3.9497929205589071832704917142109479755163e-01
2,-3.9497929205589765722095307864947244524956e-01
3,-3.9497929205587545276046057551866397261620e-01
4,-3.9497929205586179701725768609321676194668e-01
5,-3.9497929205589071832704917142109479755163e-01
6,-3.9497929205589765722095307864947244524956e-01
7,-3.9497929205587545276046057551866397261620e-01
8,-3.9497929205586179701725768609321676194668e-01
9,-3.9497929205589071832704917142109479755163e-01
10,-3.9497929205589765722095307864947244524956e-01
11,-3.9497929205587545276046057551866397261620e-01
12,-3.9497929205586179701725768609321676194668e-01
13,-3.9497929205589071832704917142109479755163e-01
14,-3.9497929205589765722095307864947244524956e-01
15,-3.9497929205587545276046057551866397261620e-01
16,-3.9497929205586179701725768609321676194668e-01
17,-3.9497929205589071832704917142109479755163e-01
18,-3.9497929205589765722095307864947244524956e-01
19,-3.9497929205587545276046057551866397261620e-01
20,-3.9497929205586179701725768609321676194668e-01
21,-3.9497929205589071832704917142109479755163e-01
22,-3.9497929205589765722095307864947244524956e-01
23,-3.9497929205586179701725768609321676194668e-01
24,-3.9497929205589071832704917142109479755163e-01
25,-3.9497929205589765722095307864947244524956e-01
26,-3.9497929205587545276046057551866397261620e-01
27,-3.9497929205586179701725768609321676194668e-01
28,-3.9497929205589071832704917142109479755163e-01
29,-3.9497929205589765722095307864947244524956e-01
30,-3.9497929205587545276046057551866397261620e-01
31,-3.9497929205586179701725768609321676194668e-01
32,-3.9497929205589071832704917142109479755163e-01
33,-3.9497929205589765722095307864947244524956e-01
34,-3.9497929205586179701725768609321676194668e-01
35,-3.9497929205589071832704917142109479755163e-01
36,-3.9497929205589765722095307864947244524956e-01
37,-3.9497929205587545276046057551866397261620e-01
38,-3.9497929205587545276046057551866397261620e-01
39,-3.9497929205586179701725768609321676194668e-01
40,-3.9497929205589071832704917142109479755163e-01
41,-3.9497929205589765722095307864947244524956e-01
42,-3.9497929205586179701725768609321676194668e-01
43,-3.9497929205589071832704917142109479755163e-01
44,-3.9497929205589765722095307864947244524956e-01
45,-3.9497929205587545276046057551866397261620e-01
46,-3.9497929205587545276046057551866397261620e-01
47,-3.9497929205586179701725768609321676194668e-01
48,-3.9497929205589071832704917142109479755163e-01
49,-3.9497929205589765722095307864947244524956e-01
50,-3.9497929205586179701725768609321676194668e-01
51,-3.9497929205589071832704917142109479755163e-01
52,-3.9497929205589765722095307864947244524956e-01
53,-3.9497929205586179701725768609321676194668e-01
54,-3.9497929205589071832704917142109479755163e-01
55,-3.9497929205589765722095307864947244524956e-01
56,-3.9497929205587545276046057551866397261620e-01
57,-3.9497929205587545276046057551866397261620e-01
58,-3.9497929205586179701725768609321676194668e-01
59,-3.9497929205589071832704917142109479755163e-01
60,-3.9497929205589765722095307864947244524956e-01
61,-3.9497929205586179701725768609321676194668e-01
62,-3.9497929205589071832704917142109479755163e-01
63,-3.9497929205589765722095307864947244524956e-01
64,-3.9497929205587545276046057551866397261620e-01
65,-3.9497929205587545276046057551866397261620e-01
66,-3.9497929205586179701725768609321676194668e-01
67,-3.9497929205589071832704917142109479755163e-01
68,-3.9497929205589765722095307864947244524956e-01
69,-3.9497929205586179701725768609321676194668e-01
70,-3.9497929205589071832704917142109479755163e-01
71,-3.9497929205589765722095307864947244524956e-01
72,-3.9497929205586179701725768609321676194668e-01
73,-3.9497929205589338286230827179679181426764e-01
74,-3.9497929205587212209138670004904270172119e-01
75,-3.9497929205585319278881684113002847880125e-01
76,-3.9497929205589765722095307864947244524956e-01
77,-3.9497929205586179701725768609321676194668e-01
78,-3.9497929205589071832704917142109479755163e-01
79,-3.9497929205589765722095307864947244524956e-01
80,-3.9497929205590148749038803543953690677881e-01
81,-3.9497929205590931456271164279314689338207e-01
82,-3.9497929205593118595629675837699323892593e-01
83,-3.9497929205590931456271164279314689338207e-01
84,-3.9497929205593118595629675837699323892593e-01
85,-3.9497929205591347789905398713017348200083e-01
86,-3.9497929205590837087314071141008753329515e-01
87,-3.9497929205593118595629675837699323892593e-01
88,-3.9497929205590931456271164279314689338207e-01
89,-3.9497929205593118595629675837699323892593e-01
90,-3.9497929205590931456271164279314689338207e-01
91,-3.9497929205593118595629675837699323892593e-01
92,-3.9497929205590931456271164279314689338207e-01
