index,H
0,-3.7803146609100791276072287714293487355573e-18
1,-1.0266108635693962231050235800466907676309e-02
2,-1.0266108635693967435220663730888190912083e-02
3,-1.0266108635693962231050235800466907676309e-02
4,-1.0266108635693953557432855916431435616687e-02
5,-1.0266108635693960496326759823659813264385e-02
6,-1.0266108635693958761603283846852718852460e-02
7,-1.0266108635693974374114567638116568559781e-02
8,-1.0266108635693953557432855916431435616687e-02
9,-1.0266108635693960496326759823659813264385e-02
10,-1.0266108635693962231050235800466907676309e-02
11,-1.0266108635693965700497187754081096500158e-02
12,-1.0266108635693963965773711777274002088234e-02
13,-1.0266108635693970904667615684502379735932e-02
14,-1.0266108635693970904667615684502379735932e-02
15,-1.0266108635693970904667615684502379735932e-02
16,-1.0266108635693970904667615684502379735932e-02
17,-1.0266108635693970904667615684502379735932e-02
18,-1.0266108635693970904667615684502379735932e-02
19,-1.0266108635693960496326759823659813264385e-02
20,-1.0266108635693970904667615684502379735932e-02
21,-1.0266108635693963965773711777274002088234e-02
22,-1.0266108635693960496326759823659813264385e-02
23,-1.0266108635693972639391091661309474147856e-02
24,-1.0266108635693962231050235800466907676309e-02
25,-1.0266108635693967435220663730888190912083e-02
26,-1.0266108635693962231050235800466907676309e-02
27,-1.0266108635693967435220663730888190912083e-02
28,-1.0266108635693962231050235800466907676309e-02
29,-1.0266108635693967435220663730888190912083e-02
30,-1.0266108635693962231050235800466907676309e-02
31,-1.0266108635693953557432855916431435616687e-02
32,-1.0266108635693960496326759823659813264385e-02
33,-1.0266108635693962231050235800466907676309e-02
34,-1.0266108635693967435220663730888190912083e-02
35,-1.0266108635693962231050235800466907676309e-02
36,-1.0266108635693967435220663730888190912083e-02
37,-1.0266108635693962231050235800466907676309e-02
38,-1.0266108635693967435220663730888190912083e-02
39,-1.0266108635693962231050235800466907676309e-02
40,-1.0266108635693953557432855916431435616687e-02
41,-1.0266108635693960496326759823659813264385e-02
42,-1.0266108635693962231050235800466907676309e-02
43,-1.0266108635693967435220663730888190912083e-02
44,-1.0266108635693962231050235800466907676309e-02
45,-1.0266108635693953557432855916431435616687e-02
46,-1.0266108635693950087985903962817246792838e-02
47,-1.0266108635693953557432855916431435616687e-02
48,-1.0266108635693948353262427986010152380913e-02
49,-1.0266108635693955292156331893238530028611e-02
50,-1.0266108635693950087985903962817246792838e-02
51,-1.0266108635693953557432855916431435616687e-02
52,-1.0266108635693948353262427986010152380913e-02
53,-1.0266108635693955292156331893238530028611e-02
54,-1.0266108635693950087985903962817246792838e-02
55,-1.0266108635693950087985903962817246792838e-02
56,-1.0266108635693953557432855916431435616687e-02
57,-1.0266108635693948353262427986010152380913e-02
58,-1.0266108635693955292156331893238530028611e-02
59,-1.0266108635693950087985903962817246792838e-02
60,-1.0266108635693953557432855916431435616687e-02
61,-1.0266108635693948353262427986010152380913e-02
62,-1.0266108635693955292156331893238530028611e-02
63,-1.0266108635693950087985903962817246792838e-02
64,-1.0266108635693950087985903962817246792838e-02
65,-1.0266108635693953557432855916431435616687e-02
66,-1.0266108635693948353262427986010152380913e-02
67,-1.0266108635693955292156331893238530028611e-02
68,-1.0266108635693950087985903962817246792838e-02
69,-1.0266108635693953557432855916431435616687e-02
70,-1.0266108635693948353262427986010152380913e-02
71,-1.0266108635693957026879807870045624440536e-02
72,0.0000000000000000000000000000000000000000e+00
73,4.2597932798899659642854543244804624803324e-18
74,5.1360569031808963463836548157814831938595e-03
75,5.1360569031809067547245106766240496654063e-03
76,5.1360569031809041526392967114134080475196e-03
77,5.1360569031808998158306067693956720177084e-03
78,5.1360569031808963463836548157814831938595e-03
79,5.1360569031809015505540827462027664296329e-03
80,5.1360569031809032852775587230098608415574e-03
81,5.1360569031808902748514888969566527521238e-03
82,5.1360569031808963463836548157814831938595e-03
83,5.1360569031809102241714626302382384892553e-03
84,5.1360569031809136936184145838524273131043e-03
85,5.1360569031808937442984408505708415759727e-03
86,5.1360569031808980811071307925885776057839e-03
87,5.1360569031809015505540827462027664296329e-03
88,5.1360569031809015505540827462027664296329e-03
