index,H
0,1.0000000000024535928844215959543362259865e+00
1,1.0000000000011690648449302898370660841465e+00
2,1.0000000000023381296898605796741321682930e+00
3,1.0000000000022843948954687220975756645203e+00
4,9.9999999999949429341228324119583703577518e-01
5,9.9999999999963506969180571104516275227070e-01
6,9.9999999999943456341355840777396224439144e-01
7,9.9999999999935607064571740920655429363251e-01
8,1.0000000000008513190152825700351968407631e+00
9,1.0000000000009707790127322368789464235306e+00
10,1.0000000000009707790127322368789464235306e+00
11,1.0000000000008881784197001252323389053345e+00
12,1.0000000343717250217423497815616428852081e+00
13,1.0000000360997460813194948059390299022198e+00
14,1.0000000375750928149898300034692510962486e+00
15,1.0000000387388008338263034602277912199497e+00
16,1.0000000395427439681128589654690586030483e+00
17,1.0000000399346316015680713462643325328827e+00
18,1.0000000398744899321457069163443520665169e+00
19,1.0000000393283552391210378118557855486870e+00
20,1.0000000382792790798447413180838339030743e+00
21,1.0000000367198473849583706396515481173992e+00
22,1.0000000346648465487930934614269062876701e+00
23,1.0000000321488418109083795570768415927887e+00
24,1.0000000292242570143486091183149255812168e+00
25,1.0000000259686652182011812328710220754147e+00
26,1.0000000224715988039747571747284382581711e+00
27,1.0000000188444304605184242973336949944496e+00
28,1.0000000152125128050073499252903275191784e+00
29,1.0000000117043190694943177732056938111782e+00
30,1.0000000084531865951475992915220558643341e+00
31,1.0000000055872093618347662413725629448891e+00
32,1.0000000032234881430781570088583976030350e+00
33,1.0000000014596992503612682412494905292988e+00
34,1.0000000003684985649954342079581692814827e+00
35,9.9999999999979927167714777169749140739441e-01
36,1.0000000003686437821670551784336566925049e+00
37,1.0000000014585732621696934074861928820610e+00
38,1.0000000032236822100628614862216636538506e+00
39,1.0000000055883813132595605566166341304779e+00
40,1.0000000084531088795358755305642262101173e+00
41,1.0000000117045664271842042580829001963139e+00
42,1.0000000152120118723786390546592883765697e+00
43,1.0000000188446014348642165714409202337265e+00
44,1.0000000224711793617160537905874662101269e+00
45,1.0000000259688053283468889276264235377312e+00
46,1.0000000292250739164501283084973692893982e+00
47,1.0000000321484336929245273495325818657875e+00
48,1.0000000346656259253563803213182836771011e+00
49,1.0000000367192778405467379343463107943535e+00
50,1.0000000382784284269632735231425613164902e+00
51,1.0000000393285684019417658419115468859673e+00
52,1.0000000398743220664243835926754400134087e+00
53,1.0000000399346411494860831226105801761150e+00
54,1.0000000395421182464161802272428758442402e+00
55,1.0000000387396532630646106554195284843445e+00
56,1.0000000375743762770497369274380616843700e+00
57,1.0000000361006855520429326134035363793373e+00
58,1.0000000343725496954050413478398695588112e+00
59,1.0000000343714574579934151188354007899761e+00
60,1.0000000361000807025391168281203135848045e+00
61,1.0000000375734197088917198925628326833248e+00
62,1.0000000387382659283730390598066151142120e+00
63,1.0000000395429180510831201900145970284939e+00
64,1.0000000399350585933433421814697794616222e+00
65,1.0000000398754878006002400070428848266602e+00
66,1.0000000393283086097540035552810877561569e+00
67,1.0000000382786271568846814261632971465588e+00
68,1.0000000367191630434859916931600309908390e+00
69,1.0000000346645681048585174721665680408478e+00
70,1.0000000321487849674895187490619719028473e+00
71,1.0000000292242552379917697180644609034061e+00
72,1.0000000259685033476841908850474283099174e+00
73,1.0000000224715164254263299881131388247013e+00
74,1.0000000188452466964861287124222144484520e+00
75,1.0000000152126551355991068703588098287582e+00
76,1.0000000117044742786731603700900450348854e+00
77,1.0000000084530116239989183668512850999832e+00
78,1.0000000055874065374439396691741421818733e+00
79,1.0000000032240965452956515946425497531891e+00
80,1.0000000014586059027266173870884813368320e+00
81,1.0000000003684417215765733999432995915413e+00
82,9.9999999999995192734303373072179965674877e-01
83,1.0000000003689946126428367279004305601120e+00
84,1.0000000014588694696726633992511779069901e+00
85,1.0000000032229598989630403593764640390873e+00
86,1.0000000055880311489175937822437845170498e+00
87,1.0000000084529623300966250099008902907372e+00
88,1.0000000117042187053328916590544395148754e+00
89,1.0000000152125636532218777574598789215088e+00
90,1.0000000188454349903111051389714702963829e+00
91,1.0000000224707756846243000836693681776524e+00
92,1.0000000259680186243116395417018793523312e+00
93,1.0000000292249040523273606595466844737530e+00
94,1.0000000321479542986224942069384269416332e+00
95,1.0000000346651964910904553107684478163719e+00
96,1.0000000367185868377362112369155511260033e+00
97,1.0000000382786551345049019801081158220768e+00
98,1.0000000393291827993635934035410173237324e+00
99,1.0000000398743793539324542507529258728027e+00
100,1.0000000399345945201190488660358823835850e+00
101,1.0000000395424388788256919724517501890659e+00
102,1.0000000387392813383513612279784865677357e+00
103,1.0000000375748598901992636456270702183247e+00
104,1.0000000361003968940565300727030262351036e+00
105,1.0000000343719033235601045817020349204540e+00
106,1.0000000343727164509033400463522411882877e+00
107,1.0000000360993352988003834980190731585026e+00
108,1.0000000375739777069838964962400496006012e+00
109,1.0000000387391223544142349055618979036808e+00
110,1.0000000395422272703171984176151454448700e+00
111,1.0000000399343116352923743761493824422359e+00
112,1.0000000398746369256741672870703041553497e+00
113,1.0000000393278805077557080949191004037857e+00
114,1.0000000382779621332929309573955833911896e+00
115,1.0000000367186232530514189420500770211220e+00
116,1.0000000346649395854825570495449937880039e+00
117,1.0000000321487645393858656461816281080246e+00
118,1.0000000292256032707882695831358432769775e+00
119,1.0000000259685535297649039421230554580688e+00
120,1.0000000224705118956336491464753635227680e+00
121,1.0000000188451196869721115945139899849892e+00
122,1.0000000152126804486840683239279314875603e+00
123,1.0000000117049991921192031441023573279381e+00
124,1.0000000084533711142142919925390742719173e+00
125,1.0000000055875786220127565684379078447819e+00
126,1.0000000032233939961656687955837696790695e+00
127,1.0000000014586942764793775495490990579128e+00
128,1.0000000003685367566674813133431598544121e+00
129,9.9999999999959965357732016855152323842049e-01
130,1.0000000003688820360281397370272316038609e+00
131,1.0000000014588292795991719685844145715237e+00
132,1.0000000032229521274018679832806810736656e+00
133,1.0000000055876403504129257271415553987026e+00
134,1.0000000084542000067244771344121545553207e+00
135,1.0000000117043916780801282584434375166893e+00
136,1.0000000152124972618850051730987615883350e+00
137,1.0000000188450934857087304408196359872818e+00
138,1.0000000224715221985860580389271490275860e+00
139,1.0000000259685164483158814618946053087711e+00
140,1.0000000292250901257062878357828594744205e+00
141,1.0000000321482527265715134490164928138256e+00
142,1.0000000346652690996762657960061915218830e+00
143,1.0000000367194401551529381322325207293034e+00
144,1.0000000382772729068392436602152884006500e+00
145,1.0000000393282721944387958501465618610382e+00
146,1.0000000398731869744040068326285108923912e+00
147,1.0000000399344544099733411712804809212685e+00
148,1.0000000395421482224378451064694672822952e+00
149,1.0000000387397776080433686729520559310913e+00
150,1.0000000375747677416882197576342150568962e+00
151,1.0000000360997303161525451287161558866501e+00
152,1.0000000343730655050222821955685503780842e+00
153,1.0000000343717250217423497815616428852081e+00
154,1.0000000360997460813194948059390299022198e+00
155,1.0000000375750928149898300034692510962486e+00
156,1.0000000387388008338263034602277912199497e+00
157,1.0000000395427439681128589654690586030483e+00
158,1.0000000399346316015680713462643325328827e+00
159,1.0000000398744899321457069163443520665169e+00
160,1.0000000393283552391210378118557855486870e+00
161,1.0000000382792790798447413180838339030743e+00
162,1.0000000367198473849583706396515481173992e+00
163,1.0000000346648465487930934614269062876701e+00
164,1.0000000321488418109083795570768415927887e+00
165,1.0000000292242570143486091183149255812168e+00
166,1.0000000259686652182011812328710220754147e+00
167,1.0000000224715988039747571747284382581711e+00
168,1.0000000188444304605184242973336949944496e+00
169,1.0000000152125128050073499252903275191784e+00
170,1.0000000117043190694943177732056938111782e+00
171,1.0000000084531865951475992915220558643341e+00
172,1.0000000055872093618347662413725629448891e+00
173,1.0000000032234881430781570088583976030350e+00
174,1.0000000014596992503612682412494905292988e+00
175,1.0000000003684985649954342079581692814827e+00
176,9.9999999999979927167714777169749140739441e-01
177,1.0000000003686437821670551784336566925049e+00
178,1.0000000014585732621696934074861928820610e+00
179,1.0000000032236822100628614862216636538506e+00
180,1.0000000055883813132595605566166341304779e+00
181,1.0000000084531088795358755305642262101173e+00
182,1.0000000117045664271842042580829001963139e+00
183,1.0000000152120118723786390546592883765697e+00
184,1.0000000188446014348642165714409202337265e+00
185,1.0000000224711793617160537905874662101269e+00
186,1.0000000259688053283468889276264235377312e+00
187,1.0000000292250739164501283084973692893982e+00
188,1.0000000321484336929245273495325818657875e+00
189,1.0000000346656259253563803213182836771011e+00
190,1.0000000367192778405467379343463107943535e+00
191,1.0000000382784284269632735231425613164902e+00
192,1.0000000393285684019417658419115468859673e+00
193,1.0000000398743220664243835926754400134087e+00
194,1.0000000399346411494860831226105801761150e+00
195,1.0000000395421182464161802272428758442402e+00
196,1.0000000387396532630646106554195284843445e+00
197,1.0000000375743762770497369274380616843700e+00
198,1.0000000361006855520429326134035363793373e+00
199,1.0000000343725494733604364228085614740849e+00
200,1.0000000343713848494076046335976570844650e+00
201,1.0000000361001142312744605078478343784809e+00
202,1.0000000375749129588598407281097024679184e+00
203,1.0000000387380285626903742013382725417614e+00
204,1.0000000395422032894998665142338722944260e+00
205,1.0000000399340274181980703360750339925289e+00
206,1.0000000398753208230573363834992051124573e+00
207,1.0000000393290260358725163314375095069408e+00
208,1.0000000382775815488400894537335261702538e+00
209,1.0000000367190384764626287505961954593658e+00
210,1.0000000346653135085972508022678084671497e+00
211,1.0000000321495445820829672811669297516346e+00
212,1.0000000292246244981697600451298058032990e+00
213,1.0000000259679142633473247769870795309544e+00
214,1.0000000224711900198570901920902542769909e+00
215,1.0000000188449880145213910509482957422733e+00
216,1.0000000152117718421607150958152487874031e+00
217,1.0000000117042442404624580376548692584038e+00
218,1.0000000084532087996080917946528643369675e+00
219,1.0000000055878839333445284864865243434906e+00
220,1.0000000032228946178491924001718871295452e+00
221,1.0000000014589618402283122122753411531448e+00
222,1.0000000003687676830566033459035679697990e+00
223,9.9999999999941657780055948023800738155842e-01
224,1.0000000003688100935761440268834121525288e+00
225,1.0000000014587684393774225100059993565083e+00
226,1.0000000032231861624154589662794023752213e+00
227,1.0000000055870825743653540484956465661526e+00
228,1.0000000084531297517287384835071861743927e+00
229,1.0000000117048615244641496246913447976112e+00
230,1.0000000152125243513268060269183479249477e+00
231,1.0000000188453064264848535458440892398357e+00
232,1.0000000224718146313307443051598966121674e+00
233,1.0000000259687822357079767243703827261925e+00
234,1.0000000292247324118477536103455349802971e+00
