index,H
0,-1.0002017708942597304356235399236396688138e-06
1,-9.9995422406981089425803514714186093215176e-07
2,-9.9995386692513393663201727579181721239365e-07
3,-9.9995386692513393663201727579181721239365e-07
4,-9.9995386692513393663201727579181721239365e-07
5,-9.9937677577937835496108432559170253739467e-07
6,-1.0004421945029702237266915412772227966798e-06
7,-9.9918712723173836409934576302527275970533e-07
8,-9.9995386692513393663201727579181721239365e-07
9,-9.9995386692513393663201727579181721239365e-07
10,-9.9995386692513393663201727579181721239365e-07
11,-9.9995386692513393663201727579181721239365e-07
12,-9.9995386692513393663201727579181721239365e-07
13,-9.9995386692513393663201727579181721239365e-07
14,-9.9995386692513393663201727579181721239365e-07
15,-9.9995386692513393663201727579181721239365e-07
16,-9.9995386692513393663201727579181721239365e-07
17,-9.9995386692513393663201727579181721239365e-07
18,-9.9937677577937835496108432559170253739467e-07
19,-1.0004421945029702237266915412772227966798e-06
20,-9.9918712723173836409934576302527275970533e-07
21,-9.9995386692513393663201727579181721239365e-07
22,-9.9995386692513393663201727579181721239365e-07
23,-9.9995386692513393663201727579181721239365e-07
24,-9.9995386692513393663201727579181721239365e-07
25,-9.9995386692513393663201727579181721239365e-07
26,-9.9995386692513393663201727579181721239365e-07
27,-9.9995386692513393663201727579181721239365e-07
28,-9.9995386692513393663201727579181721239365e-07
29,-9.9995386692513393663201727579181721239365e-07
30,-9.9995386692513393663201727579181721239365e-07
31,-9.9995386692513393663201727579181721239365e-07
32,-9.9995386692513393663201727579181721239365e-07
33,-9.9937677577937835496108432559170253739467e-07
34,-1.0004421945029702237266915412772227966798e-06
35,-9.9918712723173836409934576302527275970533e-07
36,-9.9995386692513393663201727579181721239365e-07
37,-9.9995386692513393663201727579181721239365e-07
38,-9.9995386692513393663201727579181721239365e-07
39,-9.9995386692513393663201727579181721239365e-07
40,-9.9995386692513393663201727579181721239365e-07
41,-9.9995386692513393663201727579181721239365e-07
42,-9.9995386692513393663201727579181721239365e-07
43,-9.9995386692513393663201727579181721239365e-07
44,-9.9995386692513393663201727579181721239365e-07
45,-9.9937677577937835496108432559170253739467e-07
46,-1.0004421945029702237266915412772227966798e-06
47,-9.9918712723173836409934576302527275970533e-07
48,-9.9995386692513393663201727579181721239365e-07
49,-9.9995386692513393663201727579181721239365e-07
50,-9.9995386692513393663201727579181721239365e-07
51,-9.9995386692513393663201727579181721239365e-07
52,-9.9995386692513393663201727579181721239365e-07
